wavelength,reflectance,standard deviation(bandwidth)
1.5985,0.30811,0.007
1.6055,0.31402,0.007
1.6125,0.31983,0.007
1.6195,0.32686,0.007
1.6265,0.33028,0.007
1.6335,0.33497,0.007
1.6405,0.3374,0.007
1.6475,0.34071,0.007
1.6545,0.34401,0.007
1.6615,0.34565,0.007
1.6685,0.34727,0.0075
1.676,0.34554,0.008
1.684,0.3424,0.008
1.692,0.34058,0.008
1.7,0.33805,0.008
1.708,0.33507,0.008
1.716,0.32913,0.008
1.724,0.32411,0.008
1.732,0.3157,0.008
1.74,0.31378,0.008
1.748,0.30597,0.008
1.756,0.29863,0.008
1.764,0.29263,0.008
1.772,0.28637,0.008
1.78,0.28473,0.008
1.788,0.28362,0.008
1.796,0.28203,0.009
1.805,0.282,0.01
1.815,0.28254,0.01
1.825,0.28269,0.01
1.835,0.27952,0.01
1.845,0.26923,0.01
1.855,0.24978,0.01
1.865,0.21842,0.01
1.875,0.16682,0.01
1.885,0.11406,0.01
1.895,0.07321,0.01
1.905,0.05384,0.01
1.915,0.04408,0.01
1.925,0.04285,0.01
1.935,0.04186,0.01
1.945,0.0419,0.01
1.955,0.0432,0.01
1.965,0.0508,0.01
1.975,0.05293,0.01
1.985,0.0594,0.01
1.995,0.06234,0.01
2.005,0.06904,0.01
2.015,0.07704,0.01
2.025,0.08149,0.01
2.035,0.08654,0.01
2.045,0.09133,0.01
2.055,0.10008,0.01
2.065,0.1054,0.01
2.075,0.11178,0.01
2.085,0.11772,0.01
2.095,0.12378,0.01
2.105,0.13207,0.01
2.115,0.1382,0.01
2.125,0.14338,0.01
2.135,0.14427,0.01
2.145,0.15237,0.01
2.155,0.15315,0.01
2.165,0.15804,0.01
2.175,0.15868,0.01
2.185,0.16037,0.01
2.195,0.16493,0.01
2.205,0.16515,0.01
2.215,0.16728,0.01
2.225,0.16754,0.01
2.235,0.16379,0.01
2.245,0.16439,0.01
2.255,0.15385,0.01
2.265,0.15622,0.01
2.275,0.14771,0.01
2.285,0.14179,0.01
2.295,0.13396,0.01
2.305,0.12683,0.01
2.315,0.12419,0.01
2.325,0.11885,0.01
2.335,0.11408,0.01
2.345,0.10906,0.01
2.355,0.10381,0.01
2.365,0.10157,0.01
2.375,0.09708,0.011
2.386,0.09094,0.014
2.4,0.08377,0.018
2.418,0.07556,0.022
2.44,0.06652,0.026
2.466,0.0551,0.03
2.496,0.04611,0.032
2.528,0.04223,0.032
2.56,0.04391,0.032
2.592,0.04024,0.032
2.624,0.03397,0.032
2.656,0.02976,0.032
2.688,0.01439,0.032
2.72,0.0058,0.032
2.752,0.00135,0.032
2.784,0.01972,0.032
2.816,0.00188,0.032
2.848,0,0.032
2.88,0.00792,0.032
2.912,0.01358,0.032
2.944,0.01234,0.032
2.976,0.00345,0.032
