Satellite_Name,Band_Name,Units,Wavelength,Description
Hyperion,B116,W/m^2 SRμm,"1305.9600nm, FWHM: 10.6946nm",SWIR band B116
Hyperion,B117,W/m^2 SRμm,"1316.0500nm, FWHM: 10.6937nm",SWIR band B117
Hyperion,B118,W/m^2 SRμm,"1326.0500nm, FWHM: 10.6949nm",SWIR band B118
Hyperion,B119,W/m^2 SRμm,"1336.1500nm, FWHM: 10.6996nm",SWIR band B119
Hyperion,B120,W/m^2 SRμm,"1346.2500nm, FWHM: 10.7058nm",SWIR band B120
Hyperion,B121,W/m^2 SRμm,"1356.3500nm, FWHM: 10.7163nm",SWIR band B121
Hyperion,B122,W/m^2 SRμm,"1366.4500nm, FWHM: 10.7283nm",SWIR band B122
Hyperion,B123,W/m^2 SRμm,"1376.5500nm, FWHM: 10.7437nm",SWIR band B123
Hyperion,B124,W/m^2 SRμm,"1386.6500nm, FWHM: 10.7612nm",SWIR band B124
Hyperion,B125,W/m^2 SRμm,"1396.7400nm, FWHM:10.7807nm",SWIR band B125
Hyperion,B126,W/m^2 SRμm,"1406.8400nm, FWHM: 10.8034nm",SWIR band B126
Hyperion,B127,W/m^2 SRμm,"1416.9400nm, FWHM: 10.8267nm",SWIR band B127
Hyperion,B128,W/m^2 SRμm,"1426.9400nm, FWHM: 10.8534nm",SWIR band B128
Hyperion,B129,W/m^2 SRμm,"1437.0400nm, FWHM: 10.8818nm",SWIR band B129
Hyperion,B130,W/m^2 SRμm,"1447.1400nm, FWHM: 10.9110nm",SWIR band B130
Hyperion,B131,W/m^2 SRμm,"1457.2300nm, FWHM: 10.9422nm",SWIR band B131
Hyperion,B132,W/m^2 SRμm,"1467.3300nm, FWHM: 10.9743nm",SWIR band B132
Hyperion,B133,W/m^2 SRμm,"1477.4300nm, FWHM: 11.0074nm",SWIR band B133
Hyperion,B134,W/m^2 SRμm,"1487.5300nm, FWHM: 11.0414nm",SWIR band B134
Hyperion,B135,W/m^2 SRμm,"1497.6300nm, FWHM: 11.0759nm",SWIR band B135
Hyperion,B136,W/m^2 SRμm,"1507.7300nm, FWHM: 11.1108nm",SWIR band B136
Hyperion,B137,W/m^2 SRμm,"1517.8300nm, FWHM: 11.1461nm",SWIR band B137
Hyperion,B138,W/m^2 SRμm,"1527.9200nm, FWHM: 11.1811nm",SWIR band B138
Hyperion,B139,W/m^2 SRμm,"1537.9200nm, FWHM: 11.2156nm",SWIR band B139
Hyperion,B140,W/m^2 SRμm,"1548.0200nm, FWHM: 11.2496nm",SWIR band B140
Hyperion,B141,W/m^2 SRμm,"1558.1200nm, FWHM: 11.2826nm",SWIR band B141
Hyperion,B142,W/m^2 SRμm,"1568.2200nm, FWHM: 11.3146nm",SWIR band B142
Hyperion,B143,W/m^2 SRμm,"1578.3200nm, FWHM: 11.3460nm",SWIR band B143
Hyperion,B144,W/m^2 SRμm,"1588.4200nm, FWHM: 11.3753nm",SWIR band B144
Hyperion,B145,W/m^2 SRμm,"1598.5100nm, FWHM: 11.4037nm",SWIR band B145
Hyperion,B146,W/m^2 SRμm,"1608.6100nm, FWHM: 11.4302nm",SWIR band B146
Hyperion,B147,W/m^2 SRμm,"1618.7100nm, FWHM: 11.4538nm",SWIR band B147
Hyperion,B148,W/m^2 SRμm,"1628.8100nm, FWHM: 11.4760nm",SWIR band B148
Hyperion,B149,W/m^2 SRμm,"1638.8100nm, FWHM: 11.4958nm",SWIR band B149
Hyperion,B150,W/m^2 SRμm,"1648.9000nm, FWHM: 11.5133nm",SWIR band B150
Hyperion,B151,W/m^2 SRμm,"1659.0000nm, FWHM: 11.5286nm",SWIR band B151
Hyperion,B152,W/m^2 SRμm,"1669.1000nm, FWHM: 11.5404nm",SWIR band B152
Hyperion,B153,W/m^2 SRμm,"1679.2000nm, FWHM: 11.5505nm",SWIR band B153
Hyperion,B154,W/m^2 SRμm,"1689.3000nm, FWHM: 11.5580nm",SWIR band B154
Hyperion,B155,W/m^2 SRμm,"1699.4000nm, FWHM: 11.5621nm",SWIR band B155
Hyperion,B156,W/m^2 SRμm,"1709.5000nm, FWHM: 11.5634nm",SWIR band B156
Hyperion,B157,W/m^2 SRμm,"1719.6000nm, FWHM: 11.5617nm",SWIR band B157
Hyperion,B158,W/m^2 SRμm,"1729.7000nm, FWHM: 11.5563nm",SWIR band B158
Hyperion,B159,W/m^2 SRμm,"1739.7000nm, FWHM: 11.5477nm",SWIR band B159
Hyperion,B160,W/m^2 SRμm,"1749.7900nm, FWHM: 11.5346nm",SWIR band B160
Hyperion,B161,W/m^2 SRμm,"1759.8900nm, FWHM: 11.5193nm",SWIR band B161
Hyperion,B162,W/m^2 SRμm,"1769.9900nm, FWHM: 11.5002nm",SWIR band B162
Hyperion,B163,W/m^2 SRμm,"1780.0900nm, FWHM: 11.4789nm",SWIR band B163
Hyperion,B164,W/m^2 SRμm,"1790.1900nm, FWHM: 11.4548nm",SWIR band B164
Hyperion,B165,W/m^2 SRμm,"1800.2900nm, FWHM: 11.4279nm",SWIR band B165
Hyperion,B166,W/m^2 SRμm,"1810.3800nm, FWHM: 11.3994nm",SWIR band B166
Hyperion,B167,W/m^2 SRμm,"1820.4800nm, FWHM: 11.3688nm",SWIR band B167
Hyperion,B168,W/m^2 SRμm,"1830.5800nm, FWHM: 11.3366nm",SWIR band B168
Hyperion,B169,W/m^2 SRμm,"1840.5800nm, FWHM: 11.3036nm",SWIR band B169
Hyperion,B170,W/m^2 SRμm,"1850.6800nm, FWHM: 11.2696nm",SWIR band B170
Hyperion,B171,W/m^2 SRμm,"1860.7800nm, FWHM: 11.2363nm",SWIR band B171
Hyperion,B172,W/m^2 SRμm,"1870.8700nm, FWHM: 11.2007nm",SWIR band B172
Hyperion,B173,W/m^2 SRμm,"1880.9800nm, FWHM: 11.1666nm",SWIR band B173
Hyperion,B174,W/m^2 SRμm,"1891.0700nm, FWHM: 11.1333nm",SWIR band B174
Hyperion,B175,W/m^2 SRμm,"1901.1700nm, FWHM: 11.1018nm",SWIR band B175
Hyperion,B176,W/m^2 SRμm,"1911.2700nm, FWHM: 11.0714nm",SWIR band B176
Hyperion,B177,W/m^2 SRμm,"1921.3700nm, FWHM: 11.0424nm",SWIR band B177
Hyperion,B178,W/m^2 SRμm,"1931.4700nm, FWHM: 11.0155nm",SWIR band B178
Hyperion,B179,W/m^2 SRμm,"1941.5700nm, FWHM: 10.9912nm",SWIR band B179
Hyperion,B180,W/m^2 SRμm,"1951.5700nm, FWHM: 10.9698nm",SWIR band B180
Hyperion,B181,W/m^2 SRμm,"1961.6600nm, FWHM: 10.9508nm",SWIR band B181
Hyperion,B182,W/m^2 SRμm,"1971.7600nm, FWHM: 10.9355nm",SWIR band B182
Hyperion,B183,W/m^2 SRμm,"1981.8600nm, FWHM: 10.9230nm",SWIR band B183
Hyperion,B184,W/m^2 SRμm,"1991.9600nm, FWHM: 10.9139nm",SWIR band B184
Hyperion,B185,W/m^2 SRμm,"2002.0600nm, FWHM: 10.9083nm",SWIR band B185
Hyperion,B186,W/m^2 SRμm,"2012.1500nm, FWHM: 10.9069nm",SWIR band B186
Hyperion,B187,W/m^2 SRμm,"2022.2500nm, FWHM: 10.9057nm",SWIR band B187
Hyperion,B188,W/m^2 SRμm,"2032.3500nm, FWHM: 10.9013nm",SWIR band B188
Hyperion,B189,W/m^2 SRμm,"2042.4500nm, FWHM: 10.8951nm",SWIR band B189
Hyperion,B190,W/m^2 SRμm,"2052.4500nm, FWHM: 10.8854nm",SWIR band B190
Hyperion,B191,W/m^2 SRμm,"2062.5500nm, FWHM: 10.8740nm",SWIR band B191
Hyperion,B192,W/m^2 SRμm,"2072.6500nm, FWHM: 10.8591nm",SWIR band B192
Hyperion,B193,W/m^2 SRμm,"2082.7500nm, FWHM: 10.8429nm",SWIR band B193
Hyperion,B194,W/m^2 SRμm,"2092.8400nm, FWHM: 10.8242nm",SWIR band B194
Hyperion,B195,W/m^2 SRμm,"2102.9400nm, FWHM: 10.8039nm",SWIR band B195
Hyperion,B196,W/m^2 SRμm,"2113.0400nm, FWHM: 10.7820nm",SWIR band B196
Hyperion,B197,W/m^2 SRμm,"2123.1400nm, FWHM: 10.7592nm",SWIR band B197
Hyperion,B198,W/m^2 SRμm,"2133.2400nm, FWHM: 10.7342nm",SWIR band B198
Hyperion,B199,W/m^2 SRμm,"2143.3400nm, FWHM: 10.7092nm",SWIR band B199
Hyperion,B200,W/m^2 SRμm,"2153.3400nm, FWHM: 10.6834nm",SWIR band B200
Hyperion,B201,W/m^2 SRμm,"2163.4300nm, FWHM: 10.6572nm",SWIR band B201
Hyperion,B202,W/m^2 SRμm,"2173.5300nm, FWHM: 10.6312nm",SWIR band B202
Hyperion,B203,W/m^2 SRμm,"2183.6300nm, FWHM: 10.6052nm",SWIR band B203
Hyperion,B204,W/m^2 SRμm,"2193.7300nm, FWHM: 10.5803nm",SWIR band B204
Hyperion,B205,W/m^2 SRμm,"2203.8300nm, FWHM: 10.5560nm",SWIR band B205
Hyperion,B206,W/m^2 SRμm,"2213.9300nm, FWHM: 10.5328nm",SWIR band B206
Hyperion,B207,W/m^2 SRμm,"2224.0300nm, FWHM: 10.5101nm",SWIR band B207
Hyperion,B208,W/m^2 SRμm,"2234.1200nm, FWHM: 10.4904nm",SWIR band B208
Hyperion,B209,W/m^2 SRμm,"2244.2200nm, FWHM: 10.4722nm",SWIR band B209
Hyperion,B210,W/m^2 SRμm,"2254.2200nm, FWHM: 10.4552nm",SWIR band B210
Hyperion,B211,W/m^2 SRμm,"2264.3200nm, FWHM: 10.4408nm",SWIR band B211
Hyperion,B212,W/m^2 SRμm,"2274.4200nm, FWHM: 10.4285nm",SWIR band B212
Hyperion,B213,W/m^2 SRμm,"2284.5200nm, FWHM: 10.4197nm",SWIR band B213
Hyperion,B214,W/m^2 SRμm,"2294.6100nm, FWHM: 10.4129nm",SWIR band B214
Hyperion,B215,W/m^2 SRμm,"2304.7100nm, FWHM: 10.4088nm",SWIR band B215
Hyperion,B216,W/m^2 SRμm,"2314.8100nm, FWHM: 10.4077nm",SWIR band B216
Hyperion,B217,W/m^2 SRμm,"2324.9100nm, FWHM: 10.4077nm",SWIR band B217
Hyperion,B218,W/m^2 SRμm,"2335.0100nm, FWHM: 10.4077nm",SWIR band B218
Hyperion,B219,W/m^2 SRμm,"2345.1100nm, FWHM: 10.4077nm",SWIR band B219
Hyperion,B220,W/m^2 SRμm,"2355.2100nm, FWHM: 10.4077nm",SWIR band B220
Hyperion,B221,W/m^2 SRμm,"2365.2000nm, FWHM: 10.4077nm",SWIR band B221
Hyperion,B222,W/m^2 SRμm,"2375.3000nm, FWHM: 10.4077nm",SWIR band B222
Hyperion,B223,W/m^2 SRμm,"2385.4000nm, FWHM: 10.4077nm",SWIR band B223
Hyperion,B224,W/m^2 SRμm,"2395.5000nm, FWHM: 10.4077nm",SWIR band B224
